screen_name	user_id	tweet_count	story_count	stories_comma_separated
Atlanta_Online	2944766250	30	22	424876288,452697862,599826954,725887884,5051269393,443367964,538966434,527932195,502590119,990509236,920537144,8231029693,9361372751,739465939,7791112153,684890843,341701854,732544619,732852332,944827252,3031279483,9521177854
redlanews	4289431230	39	22	155892608,424876288,3571040642,9871042182,241998351,277918876,7561117219,4251092648,7551081130,7661019947,7621073779,119839549,217922495,7661134533,527932195,7791112153,5081132518,948869863,7651063785,131871340,113885811,9471197686
BlackEyeBlog	4178313619	61	21	155892608,323802689,366800199,190816579,474789348,9871042182,948869863,330924137,381873226,7661019947,131871340,424876288,460819792,746974770,113885811,805815860,448939770,7621073779,277918876,119839549,318851454
KenzDonovan	1715424829	24	20	966531296,227434242,635471587,472472177,4251092648,5251195721,3301307335,6411226434,2901228881,2801235986,8991220611,781754897,8381225301,9471197686,7811248759,2531236600,8411192345,3771181567,3911263100,261532991
MissouriNewsUS	4208754922	32	20	155892608,3571040642,523822204,5081132518,7371058705,7651063785,4831057579,241998351,2441041776,8241039697,746974770,685817619,453904668,368919273,488830365,3971000153,3741049500,8231029693,2181064542,812975985
BleepThePolice	1687183549	54	19	131443168,643448832,536917827,456437157,663940807,100944585,6871032876,819440864,485436494,6481127759,964438945,992943858,7621073779,341701854,5331020918,293833193,655442648,277918876,129435454
finley1589	2606301939	33	19	910913296,3591233827,8021262180,242805349,835557702,6331166364,7951213214,3351250928,781754897,805815860,681814133,9471197686,4881270967,9171164536,8411192345,186854649,3911263100,7771229726,3771181567
HoustonTopNews	2628066159	31	19	131443168,313535649,497576162,456437157,5081132518,221716833,320640969,599826954,732852332,256383906,485436494,447824655,944827252,245687278,644593574,435861364,268384732,747536990,477599573
camosaseko	1681162956	40	18	131443168,2461182702,7311276930,456437157,4091283718,3771181567,8301335743,485436494,655442648,2761222898,739465939,129435454,7811248759,9031282968,1501232634,3031279483,5131239230,3571278805
JacquelinIsBest	1694026190	35	18	966531296,5111266657,227434242,635471587,4091283718,5731267571,781754897,8501356328,472472177,261532991,8281346356,681814133,4881270967,9031282968,4131163483,1091243197,8701316574,701526175
DailyLosAngeles	2624554209	23	18	2551367700,8021262180,2581297669,7171400497,3911263100,732852332,106513170,548976621,5051269393,661936786,7621073779,944827252,681814133,5081349527,805815860,655486780,439474398,341284159
PatriotBlake	2671070290	23	18	6831193826,5831261923,8021262180,2581297669,4091283718,5251195721,2461182702,8371221296,781754897,5731267571,8281346356,9031282968,5191199769,835557702,3911263100,1121341533,8701316574,3771181567
happkendrahappy	2535818742	30	17	5111266657,7311276930,781754897,5251195721,565834796,910913296,2531236600,8251190546,6611310995,8281346356,681814133,7641344150,4881270967,5581300504,256671348,2231340574,3771181567
DonnaBRivera	1720117201	29	16	6831193826,8991220611,8021262180,2961187461,862484168,1731254539,227434242,6781268418,781754897,8251190546,5831261923,256671348,186854649,1501232634,3911263100,903482210
PhoenixDailyNew	2753211010	17	16	269825728,2181027300,9601021157,484821672,320640969,575796426,725887884,174638191,228344336,345894739,318851454,840897785,7841015930,487899999,559902206,721895615
SanAntoTopNews	2753338899	24	16	131443168,527932195,456437157,532708620,599826954,732852332,9601021157,485436494,832910736,977906796,944827252,5291035893,579832822,731668409,129435454,2581297669
CannonSher	1627699074	54	15	131443168,837431616,3571040642,2181027300,456437157,9871042182,3111206444,2931333218,485436494,8231029693,664452594,697432856,5651330329,1091243197,129435454
WatchMeWalkin	1688370956	18	15	2011273120,6411226434,190816579,3911263100,9011272268,6781268418,3941207982,6481127759,2901228881,8251190546,3901218867,5581300504,8411192345,523822204,7771229726
CooknCooks	1710804738	18	15	429343808,227434242,5831261923,8021262180,6611196295,3911263100,2801235986,8281346356,4171202646,1581348343,186854649,368669340,1091243197,7771229726,3771181567
